Gene	Haploinsufficiency_Score	Triplosensitivity_Score	Haploinsufficiency_Description	Triplosensitivity_Description	Haploinsufficiency_DiseaseID	Triplosensitivity_DiseaseID
TPSAB1	0	3	No evidence available	Sufficient evidence for dosage pathogenicity	NA	MONDO:0850201
FGF12	0	1	No evidence available	Little evidence for dosage pathogenicity	NA	MONDO:0100062
PTHLH	3	1	Sufficient evidence for dosage pathogenicity	Little evidence for dosage pathogenicity	MONDO:0013244	MONDO:0023599
PLP1	3	3	Sufficient evidence for dosage pathogenicity	Sufficient evidence for dosage pathogenicity	MONDO:0010714	MONDO:0010714
HUWE1	0	0	No evidence available	No evidence available	MONDO:0010407	MONDO:0010407
MECP2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0010726	MONDO:0010283
SOX3	0	2	No evidence available	Some evidence for dosage pathogenicity	NA	MONDO:0010252
FBXW4	0	0	No evidence available	No evidence available	NA	MONDO:0009525
LBX1	0	0	No evidence available	No evidence available	NA	MONDO:0009525
POLL	0	0	No evidence available	No evidence available	NA	MONDO:0009525
ANKRD26	0	0	No evidence available	No evidence available	MONDO:0008555	MONDO:0008555
LMNB1	0	3	No evidence available	Sufficient evidence for dosage pathogenicity	NA	MONDO:0008215
PTPN11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0007979	MONDO:0008104
PMP22	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0008087	MONDO:0007309
FOSL2	0	0	No evidence available	No evidence available	MONDO:0968978	NA
SRSF1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0957583	NA
PRR12	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0859193	NA
PRKAG2	0	0	No evidence available	No evidence available	MONDO:0800484	NA
SYNCRIP	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800456	NA
LIPA	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0800449	NA
FLCN	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800444	NA
NKX2-5	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800441	NA
EIF2B1	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0800439	NA
EIF2B3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0800439	NA
NFIB	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800439	NA
ZMYND11	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0800439	NA
NGLY1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0800044	NA
PALB2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0700272	NA
BRCA2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0700269	NA
BRCA1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0700268	NA
SAMHD1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0700260	NA
JARID2	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0700092	NA
LEO1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0700092	NA
POMT1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0700070	NA
SLC1A2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100620	NA
ACTC1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100547	NA
KMT2B	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100516	NA
UROD	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0100498	NA
KCNH1	0	0	No evidence available	No evidence available	MONDO:0100485	NA
GNB1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100465	NA
RPE65	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100368	NA
SLC12A1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100344	NA
FXN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100340	NA
SDHAF1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100294	NA
BRWD3	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100284	NA
TSPAN7	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100284	NA
ESCO2	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100253	NA
GALNT3	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100252	NA
LAMA2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100228	NA
NDUFAF1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFAF5	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFB3	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100224	NA
NDUFS4	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100224	NA
NDUFS6	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFV1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
NDUFV2	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100224	NA
DICER1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100216	NA
AMN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100156	NA
CUBN	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100156	NA
DKC1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100152	NA
CTNS	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100151	NA
ARHGEF9	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
IQSEC2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
NLGN4X	2	0	Some evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
SYN1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100148	NA
SATB2	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100147	NA
NAA10	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100124	NA
RUNX1	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100083	NA
SCN1A	3	0	Sufficient evidence for dosage pathogenicity	No evidence available	MONDO:0100079	NA
ACTL6B	30	Not yet evaluated	Gene associated with autosomal recessive phenotype	Not yet evaluated	MONDO:0100062	NA
ALG13	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100062	NA
DNM1	30	0	Gene associated with autosomal recessive phenotype	No evidence available	MONDO:0100062	NA
GNAO1	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100062	NA
KCNA2	1	0	Little evidence for dosage pathogenicity	No evidence available	MONDO:0100062	NA
