Phenotype	Gene
3-hydroxyisobutryl-CoA hydrolase deficiency 	HIBCH
3-methylglutaconic aciduria with deafness, encephalopathy, and Leigh-like syndrome 	SERAC1, MEGDEL
3-methylglutaconic aciduria, type I 	AUH
3-methylglutaconic aciduria, type III 	OPA3, MGA3
3-methylglutaconic aciduria, type V 	DNAJC19, TIM14
3-methylglutaconic aciduria, type VIII 	HTRA2, OMI, PARK13, PRSS25, MGCA8
46XY gonadal dysgenesis with minifascicular neuropathy 	DHH, SRXY7, GDMN
46XY sex reversal 7 	DHH, SRXY7, GDMN
ABCD syndrome 	EDNRB, HSCR2, ABCDS, WS4A
Acne inversa, familial, 3 	PSEN1, AD3, ACNINV3
Al-Gazali-Bakalinova syndrome 	KIF7, HLS2, ACLS, JBTS12, AGBK
Amyotrophic lateral sclerosis 16, juvenile 	SIGMAR1, SRBP, ALS16, DSMA2
Arthrogryposis multiplex congenita 2, neurogenic type 	ERGIC1, ERGIC32, KIAA1181, AMC2
Arthrogryposis, Perthes disease, and upward gaze palsy 	NEK9, NERCC1, LCCS10, APUG, NC
Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus 	DNAJC3, PRKRI, P58, ACPHD
Avascular necrosis of femoral head, primary, 2 	TRPV4, VROAC, HMSN2C, CMT2C, SPSMA, SSQTL1, SMAL, BCYM3
Bardet-Biedl syndrome 11 	TRIM32, HT2A, LGMDR8, BBS11
Bardet-Biedl syndrome 14 	CEP290, KIAA0373, 3H11AG, JBTS5, SLSN6, LCA10, BBS14
COACH syndrome 3 	RPGRIP1L, KIAA1005, JBTS7, MKS5, COACH3
Cataract 41 	WFS1, WFRS, WFS, DFNA6, DFNA14, DFNA38, WFSL, CTRCT41
Cataract 43 	UNC45B, SMUNC45, CTRCT43, MFM11
Centronuclear myopathy 4 	CCDC78, C16orf25, CNM4
Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4 	ATP8A2, ATPIB, CAMRQ4
Charcot-Marie-Tooth disease, X-linked dominant, 6 	PDK3, CMTX6
Charcot-Marie-Tooth disease, axonal, type 2Q 	DHTKD1, KIAA1630, AAKAD, CMT2Q
Charcot-Marie-Tooth disease, axonal, type 2V 	NAGLU, MPS3B, CMT2V
Charcot-Marie-Tooth disease, recessive intermediate, B 	KARS1, KARS, CMTRIB, DFNB89, LEPID, DEAPLE
Charcot-Marie-Tooth disease, type 2B2 	PNKP, PNK, MCSZ, AOA4, CMT2B2
Chilblain lupus 2 	SAMHD1, AGS5, DCIP, CHBL2
Coenzyme Q10 deficiency, primary, 8 	COQ7, CLK1, COQ10D8
Coloboma of optic nerve 	PAX6, AN2, MGDA, FVH1, ASGD5
Coloboma, ocular 	PAX6, AN2, MGDA, FVH1, ASGD5
Combined oxidative phosphorylation deficiency 25 	MARS2, SPAX3, COXPD25
Congenital disorder of glycosylation, type 1aa 	NUS1, NGBR, C6orf68, CDG1AA, MRD55
Congenital disorder of glycosylation, type 1bb 	DHDDS, HDS, RP59, DEDSM
