Gene	pDN	pGOF	pLOF
A1BG	0.630658236241343	0.695831755675401	0.2735226859533
A1CF	0.737573457785301	0.682626164402092	0.375102200012597
A2M	0.675617114729576	0.596109404273842	0.240666524019121
A2ML1	0.60248927050845	0.49540564262082	0.369895694128986
A3GALT2	0.559137636518583	0.554567425905044	0.339496838636264
A4GALT	0.607853306939992	0.60325079223654	0.297482939767662
A4GNT	0.576563999259023	0.566115234076114	0.258129840115676
AAAS	0.529432101280343	0.382909021496458	0.486357702389593
AACS	0.547166710867629	0.568576267581725	0.425928833151486
AADAC	0.804277780146508	0.653659391647209	0.174514385522366
AADACL2	0.675552889368291	0.614714328365851	0.265932774820249
AADACL3	0.725971502061284	0.654253648766606	0.202933043739832
AADACL4	0.727107634799206	0.663327759201774	0.218805567730837
AADAT	0.719247044083289	0.430694199618442	0.303895773488958
AAGAB	0.739387856699464	0.500031839314517	0.261301891009547
AAK1	0.393170673372132	0.521119890057998	0.703097332053149
AAMDC	0.683769959873905	0.319805079996134	0.412692380103308
AAMP	0.419785318916492	0.443731526575077	0.584042814973477
AANAT	0.634726581795907	0.763710020734949	0.264983760134444
AAR2	0.572666542181289	0.401028823858575	0.378031035608249
AARD	0.666293537581057	0.615475591787706	0.326968680692559
AARS1	0.655159497136529	0.620888187618521	0.326464031944848
AARS2	0.679077432576387	0.638778702329395	0.258854412858549
AARSD1	0.721728248142473	0.55716392716049	0.300672945966707
AASDH	0.710041494382302	0.568802454636378	0.284627893513658
AASDHPPT	0.527404152468902	0.518151513924636	0.306486416515105
AASS	0.6389596194005	0.474194294995098	0.322250291508849
AATF	0.578919642529055	0.290683492515165	0.380998726036966
AATK	0.569506090560599	0.67674668299459	0.492237844877035
ABAT	0.747811602239459	0.56842686795226	0.30351158988273
ABCA1	0.736564558375408	0.739440901192002	0.221685878218093
ABCA10	0.629809156291263	0.704420915650432	0.282980734336771
ABCA12	0.737467230414152	0.703792551883699	0.238387894578755
ABCA13	0.722840041467542	0.364892053697525	0.247765627613028
ABCA2	0.452319160979605	0.606697342264095	0.516788679476264
ABCA3	0.728036651095033	0.726685810327854	0.2012501700686
ABCA4	0.62124555660619	0.711598030691493	0.299309398757164
ABCA5	0.702724543377861	0.73150125499737	0.214253118278686
ABCA6	0.721717433036803	0.725312264801874	0.206193685926406
ABCA7	0.620378579975714	0.719716701646807	0.300417592553735
ABCA8	0.606087743886892	0.621179428150177	0.323581283650382
ABCA9	0.640990036275256	0.700003105505379	0.272867304800649
ABCB1	0.82486468889329	0.805642780072854	0.214434769177251
ABCB10	0.790508478299194	0.72285520637456	0.305725873466915
ABCB11	0.828427378617373	0.811300901294005	0.189917698468825
ABCB4	0.860025251336771	0.832593664709667	0.173105141205618
ABCB5	0.750987928110968	0.738966735305931	0.289723378393494
ABCB6	0.777433229505735	0.712178256734876	0.288586636943214
ABCB7	0.516425745592398	0.533609179448684	0.65168000010167
ABCB8	0.761340670026699	0.698694567894791	0.340556602902897
ABCB9	0.754375109759179	0.800384937438676	0.254396994564869
ABCC1	0.761335687460081	0.779504717159209	0.219606554602683
ABCC10	0.622747687635534	0.694851468784986	0.356046868032556
ABCC11	0.723753514092455	0.688655062420175	0.295850587270356
ABCC12	0.714420166615286	0.732055386313071	0.305415626180751
ABCC2	0.741843571777975	0.672856177631075	0.287332530820305
